First,Last,College,Department,Title,Degree,Institution,Image
Andres,Aguirre Mesa,KCEID,Mechanical Engineering,Assistant Professor of Instruction,Ph.D.,The University of Texas at San Antonio,
Taslima,Akter,COS,Computer Science,Assistant Professor,Ph.D.,Indiana University Bloomington,
Hunter,Aku,ACOB,Accounting,Assistant Professor,ABD,University of Oklahoma,"image not found, expected: img/2024/aku-hunter.jpg"
Peter,Amah,ACOB,Management,Associate Professor of Practice,Ph.D.,Gonzaga University,
Garet,Ammerman,KCEID,Architecture & Planning,Associate Professor of Instruction,M.Arch.,Southern California Institute of Architecture,
Emilie,Amrein,COLFA,Interdisciplinary School for Engagement and UTSA Arts,"Professor, Associate Dean & Founding Executive Director",D.M.A.,University of Minnesota,"image not found, expected: img/2024/amrein-emilie.jpg"
Myron,Anderson,COEHD ,Interdisciplinary Learning & Teaching,Professor of Practice,Ph.D.,Virginia Tech,"image not found, expected: img/2024/anderson-myron.jpg"
Rita,Anderson,UC,Academic Introduction & Strategies,Assistant Professor of Instruction,Ed.D.,University of Hawaii,
Dustin,Anderson,UC,Army ROTC,Senior Military Science Instructor,,,
Carolina,Arango Vargas,"COEHD,COLFA","Race, Ethnicity, Gender & Sexuality Studies and Interdisciplinary School for Engagement",Assistant Professor,Ph.D.,Syracuse University,
Ann-Geneve,Asis,COS ,Integrative Biology,Lecturer,M.Sc.,"University of Santo Tomas, Phillipines",
Myat Thinzar,Aung,COLFA,Art,Visiting Assistant Professor,Ph.D.,University of Iowa,
Xueyin,Bai,KCEID,Architecture & Planning,Assistant Professor of Instruction,,,"image not found, expected: img/2024/bai-xueyin.jpg"
Carlos,Bassetto,COS,Physics & Astronomy,Assistant Professor,Ph.D.,"Sao Paulo State University, Brazil",
Malvika,Behl,COEHD,Counseling,Assistant Professor,Ph.D.,The University of Toledo,
Robert,Brownlee,UC,Army ROTC,Assistant Professor of Military Science,,,
Yuriy,Bulka,COS,Mathematics,Assistant Professor of Instruction,Ph.D.,University of Alabama,
Jonathan,Caraballo,UC,Army ROTC,Assistant Professor of Military Science,,,
Peggy,Ceballos,COEHD,Counseling,Professor,Ph.D.,University of North Texas,
Nora,Charles,HCAP,Psychology,Associate Professor,Ph.D.,Texas A&M University,
Henry,Chimal-Dzul,COS,Mathematics,Assistant Professor,Ph.D.,Ohio University,"image not found, expected: img/2024/chimal-dzul-henry.jpg"
MD Shahedur,Chowdhury,ACOB,Finance,Assistant Professor of Practice,,,"image not found, expected: img/2024/chowdhury-md-shahedur.jpg"
Taylor,Clanton,COS,Integrative Biology,Lecturer,M.S.,Tarlton State University,
Quintin,Coleman,UC,Writing Program,Assistant Professor of Practice,M.A.,University of Houston-Downtown,
Forrest,Daniels,HCAP,Public Health,Associate Professor of Practice,,,"image not found, expected: img/2024/daniels-forrest.jpg"
Subhasish ,Das,COS ,Computer Science,Assistant Professor of Instruction ,,,"image not found, expected: img/2024/das-subhasish.jpg"
Izaak,De Leon,COS ,Integrative Biology,Lecturer,M.S.,Texas State University,"image not found, expected: img/2024/de-leon-izaak.jpg"
Michael,Denton,COEHD,Educational Leadership & Policy Studies,Assistant Professor,Ph.D.,Miami University of Ohio,
Stephanie,Dorsey-Boatman,UC,Army ROTC,Assistant Professor of Military Science,,,"image not found, expected: img/2024/dorsey-boatman-stephanie.jpg"
Yuxuan,Du,KCEID,Electrical & Computer Engineering,Assistant Professor,Ph.D.,"University of Southern California, Los Angeles",
Madelyn,Duffey,COEHD ,Counseling,Lecturer,,,"image not found, expected: img/2024/duffey-madelyn.jpg"
Maitreya,Dutta,KCEID,Electrical & Computer Engineering,Associate Professor,Ph.D.,"University of California, Davis",
Connor,Dye,COLFA,Political Science & Geography,Postdoctoral Fellow,ABD,The University of Texas at Austin,"image not found, expected: img/2024/dye-connor.jpg"
Emadeldin,Elgamal,ACOB,Information Systems & Cyber Security,Associate Professor of Practice,Ph.D.,Old Dominion University,
Héctor,Fox,COS,Integrative Biology,Assistant Professor of Instruction,,,"image not found, expected: img/2024/fox-hector.jpg"
Amy,Frishkey,COLFA,Music,Assistant Professor,Ph.D.,"University of California, Los Angeles",unable to create block: frishkey-amy
Nicholas,Granado,ACOB,Accounting,Associate Professor of Practice,J.D.,George Washington University Law School,
Frankie,Grullon,ACOB,Information Systems & Cyber Security,Assistant Professor of Practice,Ph.D.,University of Fairfax,
Jonathan,Gutierrez,UC,Multidisciplinary Studies,Assistant Professor of Practice,M.A.,The University of Texas at San Antonio,
Quichen,Hai,COS,Mathematics,Lecturer,,,"image not found, expected: img/2024/hai-quichen.jpg"
Binghan,He,KCEID,Mechanical Engineering,Assistant Professor,Ph.D.,The University of Texas at Austin,
Michael,Hill,UC,Army ROTC,Assistant Professor of Military Science,,,"image not found, expected: img/2024/hill-michael.jpg"
Kevin,Hirschi,COEHD,Bicultural-Bilingual Studies,Assistant Professor,Ph.D.,Northern Arizona University,
Ginyou,Hu,ACOB,Economics,Assistant Professor,ABD,Rice University,"image not found, expected: img/2024/hu-ginyou.jpg"
Mark,Johlke,ACOB,Marketing,Professor of Practice,Ph.D.,Texas Tech University,
Christopher,Johnson,COS,Integrative Biology,Assistant Professor of Instruction,Ph.D.,Texas Tech University,
Floran,Kacaku,COS,Mathematics,Lecturer,Ph.D.,Northeastern University,
Bijal,Karia,COS,Integrative Biology,Assistant Professor of Instruction,Ph.D.,UT Health Science Center San Antonio,
Shalinee,Kavadiya,KCEID,Biomedical Engineering & Chemical Engineering,Assistant Professor,Ph.D.,Washington University in St. Louis,
Massy,Khoshbin,COS,Mathematics,Lecturer,Ph.D.,"University of California, Santa Barbara",
Bobbi,Kindred,COLFA,English,Assistant Professor,Ph.D.,University of Washington,
Larisa,Kovalenko,ACOB,Marketing,Assistant Professor,Ph.D.,Texas A&M University,
Jeffrey,Kropp,ACOB,Management,Assistant Professor of Practice,,,"image not found, expected: img/2024/kropp-jeffrey.jpg"
Rodney,Lacey,ACOB,Management,Professor of Practice,Ph.D.,Northwestern University,
Hyejeong,Lee,COEHD,Interdiscplinary Learning & Teaching,Assistant Professor,Ph.D.,Indiana University Bloomington,
Fangyu,Lin,ACOB,Information Systems & Cyber Security,Assistant Professor,Ph.D.,The University of Arizona,
Han,Liu,HCAP,Sociology & Demography,Postdoctoral Fellow,Ph.D.,"University at Albany, State of University of New York",
Zhiying,Lu,COLFA,Modern Languages & Literatures,Professor of Instruction,Ph.D.,Renmin University of China,
Akalanka Bandara,Mailewa,ACOB,Information Systems & Cyber Security,Associate Professor of Practice,Ph.D.,Texas Tech University,"image not found, expected: img/2024/mailewa-akalanka-bandara.jpg"
Gilberto,Malavé,UC,Army ROTC,"Department Chair, Professor of Military Science",,,"image not found, expected: img/2024/malave-gilberto.jpg"
Joseph,Martinez,COLFA,Philosophy & Classics,Assistant Professor of Instruction,Ph.D.,"University of California, San Diego",unable to create block: martinez-joseph
Christopher,Michael,KCEID,Electrical & Computer Engineering,Associate Professor of Practice,Ph.D.,Ohio State University,"image not found, expected: img/2024/michael-christopher.jpg"
Herta,Montoya,KCEID,Mechanical Engineering,Assistant Professor,Ph.D.,Purdue University,
Javier,Morales,UC,Army ROTC,Military Science Instructor,,,
Ziad,Najem,COS,Computer Science,Professor of Instruction,Ph.D.,University of Illinois Urbana-Champaign,
Idalia,Nuñez,COEHD,Interdiscplinary Learning & Teaching,Associate Professor,Ph.D.,The University of Texas at Austin,
Adam,O'Riordan,HCAP,Psychology,Assistant Professor,Ph.D.,"University of Limerick, Ireland",unable to create block: oriordan-adam
Cody,Olsen,COS,Mathematics,Lecturer,Ph.D.,University of North Texas,
Jose,Palacios,COS,Mathematics,Lecturer,M.S.,The University of Texas at San Antonio,
Emily  ,Pavlik,COS,Integrative Biology,Lecturer,M.S.,The University of Texas at San Antonio,
Jacquelyne,Read,COS,Chemistry,Assistant Professor,Ph.D.,New York University,"image not found, expected: img/2024/read-jacquelyne.jpg"
Jessica,Rivera,"COEHD,ConTex",Educational Leadership & Policy Studies and ConTex,Postdoctoral Fellow,ABD,The Ohio State University,"image not found, expected: img/2024/rivera-jessica.jpg"
Chris,Sandford,COS,Chemistry,Assistant Professor,Ph.D.,"University of Bristol, United Kingdom","image not found, expected: img/2024/sandford-chris.jpg"
Saidat Abidemi,Sanni,ACOB,Management Science & Statistics,Assistant Professor,Ph.D.,University of Cincinnati,"image not found, expected: img/2024/sanni-saidat-abidemi.jpg"
Elizabeth,Schultz,COLFA,Music,Associate Professor of Instruction,Ph.D.,University of Florida,
Benjamin,Sencindiver,COS,Mathematics,Assistant Professor,Ph.D.,Colorado State University,"image not found, expected: img/2024/sencindiver-benjamin.jpg"
Bilal,Siddiqui,UC,Multidisciplinary Studies,Assistant Professor of Instruction,,,"image not found, expected: img/2024/siddiqui-bilal.jpg"
Jennifer,Smith,COLFA,Interdisciplinary School for Engagement,Professor of Instruction,M.F.A.,Columbia University,
Janet,Solis Rodriguez,COEHD,Educational Leadership & Policy Studies,Assistant Professor,Ph.D.,The University of Texas at Austin,"image not found, expected: img/2024/solis-rodriguez-janet.jpg"
Christopher,Stephen,COLFA,Interdisciplinary School for Engagement,Assistant Professor,Ph.D.,"University of California, Los Angeles","image not found, expected: img/2024/stephen-christopher.jpg"
Vivian,Ta-Johnson,HCAP,Psychology,Assistant Professor,Ph.D.,The University of Texas at Arlington,
Deepti,Tagare,COEHD ,Interdiscplinary Learning & Teaching,Postdoctoral Fellow,Ph.D.,Purdue University,
Ilkay Nehir,Tanyel,ACOB,Information Systems & Cyber Security,Assistant Professor,ABD,University of Cincinnati,"image not found, expected: img/2024/tanyel-ilkay-nehir.jpg"
Ivan,Toledo,COS,Mathematics,Lecturer,,,"image not found, expected: img/2024/toledo-ivan.jpg"
Lana,Trotter,COEHD,Counseling,Lecturer,,,"image not found, expected: img/2024/trotter-lana.jpg"
Steven,Ullman,ACOB,Information Systems & Cyber Security,Assistant Professor,Ph.D.,The University of Arizona,
Dominique,Vargas,COLFA,English,Assistant Professor,Ph.D.,University of Notre Dame,
Jonathan,Velasco,COS,Chemistry,Assistant Professor of Instruction,Ph.D.,University of Nebraska-Lincoln,
Luan,Vu,COS,Molecular Microbiology & Immunology,Assistant Professor,Ph.D.,"University of Sydney, Australia","image not found, expected: img/2024/vu-luan.jpg"
Barbara,Williams,COS,Mathematics,Lecturer,M.S.,Texas A&M University,
Müge,Yayla-Küllü,ACOB,Management Science & Statistics,Associate Professor,Ph.D.,The University of North Carolina at Chapel Hill,"image not found, expected: img/2024/yayla-kullu-muge.jpg"